SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1647835812.354195, 14.007576, -8.575881, -5.559935, -2.131379, -0.356536, -4.194047, , , 
1647835812.375135, 14.990546, -10.439168, -6.858490, -1.677206, -0.554134, -2.165819, , , 
1647835812.395165, 11.336246, -9.866206, -6.178986, -1.127826, -0.178297, -1.018867, , , 
1647835812.415183, 8.873959, -9.016115, -5.594052, -1.185346, -0.118541, -0.643501, , , 
1647835812.435217, 7.341969, -8.298752, -5.607968, -1.608822, -0.247721, -0.569384, , , 
1647835812.454249, 7.178565, -7.810035, -7.180211, -1.709795, 0.183743, -0.423458, , , 
1647835812.475180, 7.178265, -7.100604, -9.443180, -1.254236, 0.703811, -0.225877, , , 
1647835812.495254, 6.804171, -6.562357, -10.472986, -0.728273, 0.356876, -0.108598, , , 
1647835812.514493, 6.016030, -6.745663, -9.949255, -0.617990, 0.267154, -0.077997, , , 
1647835812.535166, 5.080945, -6.876746, -9.133730, -0.322481, 0.283601, -0.044849, , , 
1647835812.554297, 5.590760, -6.535273, -10.774506, 0.186193, 0.022261, 0.042068, , , 
1647835812.575169, 4.710143, -6.678626, -8.341399, 0.339362, -0.316730, 0.158102, , , 
1647835812.595163, 3.125630, -7.066337, -5.479280, -0.023559, -0.369995, 0.106826, , , 
1647835812.615227, 2.668038, -6.890363, -4.676175, -0.272735, -0.348604, 0.065667, , , 
1647835812.635169, 2.563741, -6.746112, -5.642086, -0.272498, -0.429275, -0.005544, , , 
1647835812.654349, 2.469619, -6.759729, -6.325481, -0.170350, -0.484031, -0.084827, , , 
1647835812.675164, 3.030161, -7.243059, -6.273407, -0.117130, -0.315171, -0.053941, , , 
1647835812.695167, 3.338265, -7.294235, -6.270564, -0.081627, -0.108383, -0.018834, , , 
1647835812.715151, 3.181295, -7.248146, -6.520608, -0.030640, 0.049115, -0.011662, , , 
1647835812.735171, 3.192369, -7.104345, -6.849212, 0.008044, -0.025326, -0.014780, , , 
1647835812.754405, 3.496133, -7.148039, -6.582708, -0.067431, -0.164437, 0.008600, , , 
1647835812.775170, 3.419219, -7.105841, -6.358102, -0.072492, -0.215472, 0.011976, , , 
1647835812.795250, 3.280356, -7.021894, -6.342091, -0.033681, -0.176013, 0.009471, , , 
1647835812.815244, 3.212270, -7.066636, -6.205172, -0.015629, -0.108697, 0.002740, , , 
1647835812.835232, 3.253122, -7.088483, -6.349124, -0.013182, -0.088315, 0.013267, , , 
1647835812.854461, 3.113360, -7.120206, -6.256498, -0.015486, -0.005504, 0.012036, , , 
1647835812.875238, 2.997540, -7.131429, -6.310667, -0.010606, 0.025703, 0.014821, , , 
1647835812.895156, 3.023278, -7.111527, -6.390573, -0.002175, 0.023072, 0.031038, , , 
1647835812.915240, 2.950255, -7.058555, -6.242582, 0.008497, 0.045155, 0.032112, , , 
1647835812.935252, 3.036596, -7.067085, -6.158635, 0.015219, 0.047970, 0.043731, , , 
1647835812.954505, 2.992902, -7.045537, -5.951985, 0.015828, 0.099858, 0.026201, , , 
1647835812.975188, 3.113510, -6.856096, -6.276699, 0.141478, 0.140537, 0.028536, , , 
1647835812.994365, 3.223942, -7.041497, -6.027702, 0.068485, 0.043082, 0.013945, , , 
1647835813.015151, 3.310133, -7.173178, -6.123620, -0.078774, -0.167572, 0.011932, , , 
1647835813.035172, 3.296217, -7.191583, -6.228366, -0.076124, -0.155632, 0.018568, , , 
